id;npa_id;type_of_code;assignable;explanation;reserved;assigned;assignment_date;use_type;location;country;in_service;in_service_date;status;planning_letters;notes;overlay;overlay_complex;parent_npa_id;service;time_zone;area_served;map;in_jeopardy;relief_planning_in_progress;home_npa_local_calls;home_npa_toll_calls;foreign_npa_local_calls;foreign_npa_toll_calls;perm_hnpa_local_calls;perm_hnpa_toll_calls;perm_hnpa_foreign_local_calls;dialing_plan_notes
1;13381;Soft Burg Markets;Garden input;extend;transmit e-tailers;Assurance Steel;2021-03-28;Forward;Personal Gorgeous Rustic;Heard Island and McDonald Islands;Run;2021-03-29;mint Florida teal;e-commerce Lane;Music bypass South;Metal;hierarchy Buckinghamshire human-resource;16159;port;transmitter Qatari;West;Analyst Refined;invoice;Soft payment Cotton;virtual Account;Albania Buckinghamshire;Representative Account;Forges;Nigeria;access Tasty;throughput;Madagascar deliverables
2;86763;transform TCP;Dirham driver;Practical;Africa;turquoise;2021-03-29;compelling Supervisor;override wireless Rufiyaa;China;Mouse Kids Cambridgeshire;2021-03-29;Shores;policy Central Incredible;Cheese ADP;Account IB alarm;Shirt;22101;payment models Group;Keyboard Cheese;up EXE backing;Baby alliance Tanzania;generating;deposit;Shirt;Cheese Buckinghamshire;reintermediate Berkshire;back-end;Licensed;collaborative Liaison Facilitator;array Oklahoma;Generic
3;355;violet;Mountains sensor gold;PNG;communities;bluetooth back-end circuit;2021-03-29;Concrete salmon;deposit;Congo;Cotton Virginia;2021-03-29;Cambridgeshire copying;feed;Sausages reinvent Bacon;Leone;Pizza;39641;Small Zambian cyan;Bangladesh;portals Corporate Sri;reintermediate Carolina;District productize;Licensed high-level Handmade;Moldovan generating;Outdoors;Incredible Cambridgeshire;Intelligent Car lavender;calculate Concrete;initiative Islands;Coordinator;Account syndicate overriding
4;26352;Sudan Chicken;compressing override;driver panel;Fish;HDD Consultant virtual;2021-03-29;Technician;generate JSON Alabama;Zimbabwe;Forward input;2021-03-29;open-source initiative transform;Generic Village Executive;invoice;Ergonomic Greenland parsing;Account Ball;40293;Swiss silver wireless;Louisiana Account forecast;Neck grey connecting;index;Buckinghamshire;Concrete;tangible Account Direct;Sports;global;FTP Sleek;Unbranded Infrastructure;Delaware Applications silver;lavender;sticky Sleek 24/365
5;24166;Tuna Books;strategic Metical;Dynamic bypassing Berkshire;integrated;invoice indexing;2021-03-29;logistical;open-source;Japan;Center Movies;2021-03-28;Avon e-commerce Frozen;envisioneer Dollar;Manager auxiliary;Buckinghamshire;Intelligent hybrid;98051;Borders installation turquoise;USB calculate;compressing;pixel mobile;exploit;quantifying plum FTP;Baby;Customer teal Account;optical Plastic Buckinghamshire;Global Berkshire Cambridgeshire;firewall Tasty;wireless;platforms;Applications homogeneous Practical
6;80761;calculating data-warehouse;Graphic;payment Intranet;Branding;Solutions;2021-03-29;parse Washington;bandwidth;Ghana;Ergonomic bus;2021-03-28;Gorgeous;Fantastic relationships Consultant;calculating;sensor National Tasty;Self-enabling;44210;Facilitator;Incredible Terrace Granite;card standardization;Orchestrator synthesizing Granite;Locks Sports;EXE Account capacitor;Tuna;fuchsia 1080p;Internal Arizona Nigeria;Steel syndicate Global;Comoros invoice Rubber;card relationships Shore;Exclusive Seychelles;Generic
7;81255;Idaho;Principal invoice;Infrastructure Synergistic;actuating Data;Account;2021-03-29;sticky;lime cross-platform Licensed;Kuwait;Iranian;2021-03-28;pixel Sausages;explicit;Quality-focused Compatible Agent;Borders Music;infrastructures interface;77981;olive Dinar;plum;Liaison Colorado;methodology;Anguilla;Uzbekistan Planner back-end;Salad Incredible quantify;panel alarm;Belarus robust;Krone;Chair SQL;Borders Krone;hard solid;disintermediate Money
8;32472;Way;Bhutan;Borders;open-source Tactics Refined;end-to-end;2021-03-29;Texas visionary Intelligent;Road;Northern Mariana Islands;Roads 24/7 users;2021-03-29;SDD Mouse bifurcated;vortals mindshare Tunnel;Compatible Maine parsing;haptic;Generic cross-platform invoice;89048;Bedfordshire system;Assistant;Wooden deposit bus;Kids Direct Refined;Plastic Computers;harness New invoice;of Global Savings;Nigeria XML fuchsia;transition;Arizona;Bedfordshire Convertible;Coordinator;Arizona;Checking Branding Loan
9;67253;Qatar invoice;Account AGP SDD;red Run syndicate;content-based Metal ubiquitous;JBOD;2021-03-29;aggregate;International synthesize Small;Tunisia;Futuna;2021-03-28;Gorgeous;white Object-based contextually-based;hardware;up Movies;Focused Avon;68715;Ball Ngultrum;Metal;Avon;HDD homogeneous;synthesizing;connecting fuchsia;frame;Mexican edge monitor;connecting mobile Vermont;maximize fresh-thinking Associate;eyeballs Stand-alone system;content Assurance Concrete;Operations;interfaces
10;63911;schemas Savings;Executive;array Handmade;Somoni Refined;Concrete firewall compressing;2021-03-28;bandwidth Slovakia;Washington;Luxembourg;Metical open-source;2021-03-29;grey Gambia digital;methodology Pound Highway;program bus;Account Ports Practical;SSL port;89174;efficient Fantastic Avon;Human Global;Technician Granite Gloves;neural California Rupee;Investment Account virtual;invoice;mobile PNG Checking;system Peso Proactive;Cliff Investment;navigate wireless;harness;Quality-focused;Accountability Sports;Chad
